ingredient_id,aisle,item,look_for,enter_amount_in,product_name,amount,unit,price,notes
shrimp,Meat & seafood,"Shrimp, peeled","Frozen peeled shrimp, about 1 lb bag","oz, lb, g or kg (weight)",,,,,
sirloin,Meat & seafood,Sirloin steak,"Top sirloin steak, about 1 lb pack","oz, lb, g or kg (weight)",,,,,
eggs,Dairy & eggs,Eggs,"Large eggs, about 12 eggs","count, like the sample: 12 eggs = 12",,,,,
feta,Dairy & eggs,Feta,"Crumbled feta, about 6 oz","oz, lb, g or kg (weight)",,,,,
parmesan,Dairy & eggs,Parmesan,"Grated parmesan, about 5 oz","oz, lb, g or kg (weight)",,,,,
greek_yogurt,Dairy & eggs,Plain Greek yogurt (nonfat),"Plain nonfat Greek yogurt, about 32 oz tub","oz, lb, g or kg (weight)",,,,,
corn_tortillas,Bread & tortillas,Corn tortillas,"Corn tortillas, about 30 count","count, like the sample: 30 count = 30",,,,,
flour_tortillas,Bread & tortillas,Flour tortillas,"Flour tortillas, about 10 count","count, like the sample: 10 count = 10",,,,,
whole_wheat_pita,Bread & tortillas,Whole wheat pita,"Whole wheat pita, about 6 count","count, like the sample: 6 count = 6",,,,,
black_beans,Pantry,Black beans (canned),"Black beans, about 15 oz can","oz, lb, g or kg (weight)",,,,,
chickpeas,Pantry,Chickpeas (canned),"Chickpeas, about 15 oz can","oz, lb, g or kg (weight)",,,,,
coconut_aminos,Pantry,Coconut aminos,"Coconut aminos, about 8 oz bottle","fl oz, ml or l (volume)",,,,,
coconut_milk,Pantry,Coconut milk (canned),"Coconut milk, about 13.5 oz can","fl oz, ml or l (volume)",,,,,
diced_tomatoes,Pantry,Diced tomatoes (canned),"Diced tomatoes, about 14.5 oz can","oz, lb, g or kg (weight)",,,,,
jasmine_rice,Pantry,Jasmine rice (dry),"Jasmine rice, about 2 lb bag","oz, lb, g or kg (weight)",,,,,
marinara,Pantry,Marinara sauce,"Marinara sauce, about 24 oz jar","fl oz, ml or l (volume)",,,,,
pasta,Pantry,Pasta (dry),"Penne pasta, about 16 oz box","oz, lb, g or kg (weight)",,,,,
quinoa,Pantry,Quinoa (dry),"Quinoa, about 12 oz bag","oz, lb, g or kg (weight)",,,,,
red_curry_paste,Pantry,Red curry paste,"Red curry paste, about 4 oz jar","oz, lb, g or kg (weight)",,,,,
soy_sauce,Pantry,Soy sauce,"Soy sauce, about 15 oz bottle","fl oz, ml or l (volume)",,,,,
canned_tuna,Pantry,Tuna in water (canned),"Tuna in water, about 5 oz can","oz, lb, g or kg (weight)",,,,,
cannellini,Pantry,White beans (canned),"Cannellini beans, about 15 oz can","oz, lb, g or kg (weight)",,,,,
frozen_brown_rice,Frozen,Frozen brown rice (cooked),"Frozen brown rice, about 20 oz bag","oz, lb, g or kg (weight)",,,,,
frozen_edamame,Frozen,Shelled edamame (frozen),"Frozen shelled edamame, about 12 oz bag","oz, lb, g or kg (weight)",,,,,
frozen_stirfry_veg,Frozen,Stir-fry vegetables (frozen),"Frozen stir-fry vegetables, about 16 oz bag","oz, lb, g or kg (weight)",,,,,
tofu,Refrigerated,Extra-firm tofu,"Extra-firm tofu, about 14 oz block","oz, lb, g or kg (weight)",,,,,
hummus,Refrigerated,Hummus,"Hummus, about 10 oz tub","oz, lb, g or kg (weight)",,,,,
salsa,Refrigerated,Salsa,"Salsa, about 16 oz jar","fl oz, ml or l (volume)",,,,,
deli_turkey,Refrigerated,Sliced turkey breast,"Sliced turkey breast, about 9 oz pack","oz, lb, g or kg (weight)",,,,,
